entity_id,event_timestamp,tenure_months,monthly_charges,total_charges,num_support_tickets,contract_type,internet_service,payment_method,churn
27,2024-03-26T13:00:00,20,112.43,2251.08,1,One-year,DSL,Mailed check,0
28,2024-04-27T11:00:00,32,45.21,1476.39,1,Month-to-month,Fiber optic,Mailed check,0
29,2024-05-17T10:00:00,30,40.74,1195.2,1,One-year,Fiber optic,Credit card,0
30,2024-05-10T03:00:00,34,36.21,1188.57,2,One-year,Fiber optic,Bank transfer,0
31,2024-06-18T03:00:00,33,22.53,687.74,4,One-year,DSL,Bank transfer,0
32,2024-02-14T19:00:00,40,86.02,3464.49,2,Month-to-month,Fiber optic,Credit card,0
33,2024-02-13T21:00:00,1,49.0,70.73,1,One-year,Fiber optic,Mailed check,0
34,2024-05-01T19:00:00,43,27.53,1268.83,2,Month-to-month,DSL,Electronic check,0
35,2024-01-28T13:00:00,54,108.39,5782.29,1,Month-to-month,No,Electronic check,0
36,2024-04-23T19:00:00,67,65.38,4344.03,2,Month-to-month,Fiber optic,Bank transfer,0
37,2024-05-13T15:00:00,55,102.72,5547.73,2,Month-to-month,No,Bank transfer,0
38,2024-04-08T22:00:00,10,90.78,876.2,1,Two-year,DSL,Mailed check,1
39,2024-05-27T12:00:00,54,59.58,3167.33,0,One-year,Fiber optic,Electronic check,0
40,2024-04-21T15:00:00,39,94.85,,4,Two-year,DSL,Credit card,0
41,2024-04-28T05:00:00,52,91.87,4837.69,4,Month-to-month,No,Credit card,0
42,2024-05-18T01:00:00,28,64.38,1708.06,2,One-year,Fiber optic,Electronic check,0
43,2024-05-01T21:00:00,9,97.69,830.72,1,Month-to-month,No,Mailed check,0
44,2024-02-11T09:00:00,60,89.35,5292.69,1,Two-year,No,Electronic check,0
45,2024-03-18T21:00:00,40,76.73,3109.83,1,Two-year,No,Mailed check,0
46,2024-04-17T15:00:00,6,53.41,293.97,1,Two-year,No,Bank transfer,1
47,2024-05-31T08:00:00,59,90.15,5244.09,2,Two-year,Fiber optic,Credit card,0
48,2024-03-24T05:00:00,12,46.45,589.48,2,Two-year,Fiber optic,Bank transfer,1
49,2024-05-05T17:00:00,34,52.71,1848.9,1,Month-to-month,DSL,Mailed check,0
50,2024-03-19T21:00:00,63,63.71,3960.64,0,One-year,DSL,Credit card,0
51,2024-02-19T10:00:00,68,53.06,3671.29,1,One-year,Fiber optic,Mailed check,0
52,2024-02-19T09:00:00,24,37.54,899.62,1,Two-year,No,Bank transfer,0
53,2024-05-05T03:00:00,2,90.22,191.12,0,One-year,No,Mailed check,0
54,2024-01-19T18:00:00,61,66.83,4087.53,2,One-year,DSL,Electronic check,0
55,2024-04-07T14:00:00,20,100.74,2034.83,1,One-year,No,Mailed check,0
56,2024-02-14T17:00:00,55,,2696.62,4,Month-to-month,Fiber optic,Electronic check,0
57,2024-06-09T18:00:00,58,88.32,5109.91,1,One-year,DSL,Mailed check,0
58,2024-03-19T19:00:00,55,29.71,1636.47,1,One-year,DSL,Electronic check,0
59,2024-01-11T13:00:00,37,62.79,2281.48,1,Two-year,Fiber optic,Credit card,0
60,2024-04-23T08:00:00,4,27.32,117.6,6,Month-to-month,DSL,Credit card,0
61,2024-03-14T21:00:00,63,116.84,7310.6,1,Month-to-month,Fiber optic,Credit card,0
62,2024-04-13T16:00:00,71,,1553.14,0,One-year,Fiber optic,Electronic check,0
63,2024-03-14T14:00:00,70,65.12,4615.37,2,Month-to-month,DSL,Bank transfer,0
64,2024-01-24T07:00:00,4,117.26,489.23,1,Month-to-month,Fiber optic,Electronic check,0
65,2024-05-21T04:00:00,60,114.6,6858.67,2,One-year,Fiber optic,Credit card,0
66,2024-05-09T08:00:00,66,94.12,6188.78,0,Month-to-month,Fiber optic,Credit card,0
67,2024-03-23T06:00:00,39,103.42,3969.01,2,One-year,No,Credit card,0
68,2024-06-18T20:00:00,50,41.82,2055.65,1,Two-year,Fiber optic,Credit card,0
69,2024-02-06T13:00:00,5,30.88,198.25,0,One-year,DSL,Credit card,1
70,2024-06-09T22:00:00,10,65.89,649.2,3,One-year,No,Credit card,0
71,2024-06-26T09:00:00,70,21.66,1580.39,4,Two-year,No,Electronic check,0
72,2024-01-21T19:00:00,8,47.92,412.79,1,Two-year,Fiber optic,Mailed check,0
73,2024-03-29T18:00:00,31,68.76,2100.06,2,One-year,Fiber optic,Mailed check,0
74,2024-06-28T09:00:00,33,64.6,,3,One-year,No,Bank transfer,0
75,2024-03-14T07:00:00,51,46.0,2276.35,1,Two-year,No,Credit card,0
76,2024-04-22T01:00:00,25,81.33,2002.63,4,Two-year,No,Electronic check,0
77,2024-03-06T15:00:00,12,110.78,1305.34,0,Two-year,Fiber optic,Bank transfer,0
78,2024-05-22T11:00:00,44,100.03,4447.23,1,Month-to-month,No,Credit card,0
79,2024-05-23T10:00:00,34,72.73,2401.07,4,Month-to-month,Fiber optic,Electronic check,0
80,2024-03-18T15:00:00,9,82.81,766.24,2,Month-to-month,DSL,Electronic check,0
81,2024-06-06T13:00:00,69,31.84,2125.6,3,Month-to-month,Fiber optic,Electronic check,0
82,2024-06-14T11:00:00,48,40.16,1949.07,1,One-year,DSL,Bank transfer,0
83,2024-03-26T07:00:00,16,114.8,1846.65,0,Two-year,No,Electronic check,1
84,2024-06-01T00:00:00,27,25.0,655.41,1,Month-to-month,DSL,Bank transfer,0
85,2024-03-08T01:00:00,17,73.1,1249.94,1,One-year,DSL,Bank transfer,1
86,2024-01-12T23:00:00,15,94.06,1387.88,2,Month-to-month,Fiber optic,Mailed check,0
87,2024-03-23T19:00:00,67,48.77,3259.78,3,Two-year,Fiber optic,Electronic check,0
88,2024-06-28T03:00:00,71,90.64,6425.58,2,Two-year,No,Credit card,0
89,2024-03-21T13:00:00,71,91.53,6510.58,1,One-year,Fiber optic,Credit card,0
90,2024-04-05T04:00:00,20,88.06,1814.68,1,Month-to-month,DSL,Credit card,1
91,2024-05-27T16:00:00,43,86.34,3626.48,3,One-year,No,Bank transfer,0
92,2024-05-23T19:00:00,29,104.42,3082.23,1,Month-to-month,Fiber optic,Mailed check,0
93,2024-03-30T00:00:00,4,80.12,278.4,0,One-year,No,Bank transfer,0
94,2024-03-28T05:00:00,52,25.1,1240.85,2,Two-year,DSL,Credit card,0
95,2024-05-04T19:00:00,11,108.1,1235.94,0,Month-to-month,Fiber optic,Credit card,0
96,2024-03-19T01:00:00,66,29.61,2023.73,1,Two-year,No,Credit card,0
97,2024-05-07T23:00:00,8,18.78,139.3,0,One-year,Fiber optic,Bank transfer,0
98,2024-01-20T10:00:00,69,89.77,6226.79,3,Two-year,DSL,Credit card,1
99,2024-01-28T07:00:00,54,47.53,2458.97,0,Two-year,Fiber optic,Bank transfer,0
100,2024-01-30T16:00:00,11,58.37,715.2,1,One-year,DSL,Electronic check,0
101,2024-06-03T04:00:00,45,53.81,2490.99,0,Month-to-month,DSL,Bank transfer,0
102,2024-06-09T10:00:00,23,115.03,2627.01,2,Two-year,Fiber optic,Bank transfer,0
103,2024-03-14T02:00:00,57,82.4,4716.0,1,One-year,Fiber optic,Electronic check,0
104,2024-05-26T20:00:00,12,80.73,904.68,2,Two-year,DSL,Credit card,0
105,2024-04-22T14:00:00,65,33.39,2191.98,2,Two-year,No,Mailed check,0
106,2024-06-14T10:00:00,47,56.03,2642.27,1,One-year,No,Electronic check,0
107,2024-06-27T21:00:00,50,46.98,2336.99,3,Month-to-month,Fiber optic,Bank transfer,0
108,2024-04-18T16:00:00,11,49.58,473.27,3,Two-year,No,Electronic check,0
109,2024-01-26T16:00:00,24,115.02,2714.03,0,Month-to-month,DSL,Electronic check,0
110,2024-06-26T19:00:00,68,21.85,1557.27,2,One-year,DSL,Mailed check,0
111,2024-02-19T11:00:00,57,22.46,1227.76,4,Month-to-month,Fiber optic,Credit card,0
112,2024-06-03T04:00:00,57,65.09,3770.17,1,Two-year,Fiber optic,Mailed check,0
113,2024-02-07T13:00:00,62,107.16,6622.01,2,Month-to-month,Fiber optic,Credit card,0
114,2024-04-05T07:00:00,58,108.23,,2,One-year,DSL,Credit card,0
115,2024-01-21T00:00:00,43,98.72,4271.64,2,Two-year,Fiber optic,Credit card,0
116,2024-04-17T20:00:00,71,113.9,8118.18,2,Month-to-month,Fiber optic,Electronic check,0
117,2024-04-16T05:00:00,15,103.34,1488.13,3,Month-to-month,No,Bank transfer,1
118,2024-04-05T08:00:00,47,24.9,1170.37,3,One-year,Fiber optic,Electronic check,0
119,2024-02-14T21:00:00,9,53.17,471.01,2,Month-to-month,Fiber optic,Bank transfer,0
120,2024-02-21T01:00:00,24,100.77,2348.54,0,One-year,DSL,Bank transfer,0
121,2024-04-04T13:00:00,51,118.89,6026.56,1,One-year,DSL,Bank transfer,0
122,2024-05-12T08:00:00,50,52.58,2618.79,0,Two-year,Fiber optic,Bank transfer,0
123,2024-06-03T22:00:00,11,61.92,712.65,1,One-year,No,Bank transfer,0
124,2024-04-13T11:00:00,45,63.61,2861.48,3,Two-year,DSL,Electronic check,0
125,2024-05-25T01:00:00,21,115.18,2461.45,1,Month-to-month,DSL,Bank transfer,0
126,2024-01-07T23:00:00,48,55.95,2739.05,3,Two-year,Fiber optic,Mailed check,0
127,2024-04-23T02:00:00,16,44.7,711.69,3,Month-to-month,DSL,Electronic check,0
128,2024-05-10T07:00:00,41,86.12,3585.17,2,One-year,DSL,Mailed check,0
129,2024-05-02T16:00:00,18,42.15,711.42,3,Month-to-month,DSL,Bank transfer,0
130,2024-05-21T20:00:00,10,30.78,309.58,1,One-year,No,Bank transfer,0
131,2024-02-27T11:00:00,17,62.13,1070.51,0,Month-to-month,Fiber optic,Mailed check,0
132,2024-06-06T17:00:00,37,104.29,3849.75,1,Two-year,Fiber optic,Mailed check,0
133,2024-05-27T08:00:00,20,35.46,632.75,2,Month-to-month,DSL,Electronic check,0
134,2024-03-18T15:00:00,54,81.05,4300.75,0,Two-year,No,Bank transfer,0
135,2024-03-22T23:00:00,52,48.34,2529.44,1,Month-to-month,Fiber optic,Mailed check,0
136,2024-04-25T07:00:00,52,31.34,1637.46,1,One-year,DSL,Credit card,0
137,2024-03-19T15:00:00,50,106.14,,4,Month-to-month,Fiber optic,Credit card,0
138,2024-06-16T21:00:00,65,64.64,4264.69,1,Month-to-month,DSL,Bank transfer,0
139,2024-03-14T02:00:00,14,61.95,926.92,2,Two-year,No,Mailed check,0
140,2024-03-27T17:00:00,71,46.53,3249.35,2,Month-to-month,Fiber optic,Bank transfer,0
141,2024-02-08T19:00:00,26,79.45,2054.03,0,Two-year,Fiber optic,Credit card,0
142,2024-03-17T15:00:00,41,34.58,1426.1,2,One-year,No,Credit card,0
143,2024-05-29T15:00:00,15,117.95,1692.06,2,One-year,Fiber optic,Mailed check,0
144,2024-03-21T13:00:00,49,33.07,1575.62,1,Two-year,DSL,Mailed check,0
145,2024-02-14T14:00:00,53,69.19,3623.89,4,Two-year,Fiber optic,Credit card,0
146,2024-03-17T07:00:00,46,86.94,3962.84,3,One-year,DSL,Mailed check,0
147,2024-04-11T11:00:00,37,89.9,3305.05,3,One-year,DSL,Credit card,0
148,2024-02-24T06:00:00,38,22.29,793.12,1,One-year,No,Bank transfer,0
149,2024-04-15T10:00:00,35,32.0,1070.32,1,Two-year,DSL,Mailed check,0
150,2024-03-14T10:00:00,18,18.53,289.36,2,One-year,Fiber optic,Mailed check,0
151,2024-01-10T12:00:00,12,84.53,1023.49,1,Month-to-month,Fiber optic,Mailed check,0
152,2024-03-26T09:00:00,38,107.43,4163.75,0,Two-year,No,Electronic check,0
153,2024-06-14T08:00:00,68,,4740.24,1,Month-to-month,Fiber optic,Mailed check,0
154,2024-01-23T12:00:00,44,98.66,4304.3,2,Two-year,Fiber optic,Credit card,0
155,2024-05-26T00:00:00,18,66.7,1205.98,1,One-year,Fiber optic,Bank transfer,0
156,2024-03-20T22:00:00,31,24.34,752.24,0,One-year,DSL,Credit card,0
157,2024-04-30T17:00:00,38,55.49,2131.5,1,Two-year,Fiber optic,Credit card,0
158,2024-05-20T16:00:00,32,87.39,2919.98,3,One-year,DSL,Electronic check,1
159,2024-04-24T01:00:00,22,51.47,1107.69,0,Two-year,Fiber optic,Electronic check,0
160,2024-02-25T18:00:00,59,75.52,4452.51,2,Month-to-month,Fiber optic,Bank transfer,0
161,2024-04-07T14:00:00,9,73.2,757.28,2,Month-to-month,DSL,Credit card,0
162,2024-04-10T16:00:00,49,26.19,1322.48,2,One-year,DSL,Mailed check,0
163,2024-03-11T06:00:00,1,95.13,150.38,2,Month-to-month,DSL,Credit card,1
164,2024-06-21T22:00:00,15,21.29,311.84,4,Month-to-month,DSL,Electronic check,0
165,2024-05-27T10:00:00,6,59.03,357.62,1,Two-year,Fiber optic,Mailed check,0
166,2024-04-19T17:00:00,42,42.16,1805.55,3,One-year,DSL,Mailed check,0
167,2024-02-27T09:00:00,49,98.15,4787.63,0,One-year,DSL,Credit card,0
168,2024-01-21T14:00:00,60,111.3,6725.12,3,Month-to-month,Fiber optic,Mailed check,0
169,2024-03-26T09:00:00,25,,532.66,0,Month-to-month,DSL,Mailed check,0
170,2024-03-02T17:00:00,25,116.13,2950.78,0,One-year,DSL,Mailed check,0
171,2024-04-04T10:00:00,60,72.43,4321.12,2,Two-year,Fiber optic,Bank transfer,0
172,2024-02-20T10:00:00,29,93.61,2744.81,0,Two-year,No,Credit card,0
173,2024-03-31T05:00:00,32,68.93,2162.9,1,Two-year,No,Credit card,0
174,2024-04-15T04:00:00,24,111.52,2613.74,2,Month-to-month,DSL,Electronic check,0
175,2024-04-15T00:00:00,20,18.93,,3,One-year,DSL,Electronic check,0
176,2024-02-15T03:00:00,69,117.7,8119.56,0,Two-year,No,Credit card,0
177,2024-06-27T07:00:00,31,37.58,1074.36,1,One-year,Fiber optic,Credit card,0
178,2024-01-03T22:00:00,11,84.68,916.28,2,One-year,Fiber optic,Credit card,1
179,2024-01-20T21:00:00,56,83.78,4624.43,3,Two-year,No,Credit card,0
180,2024-04-11T02:00:00,5,36.29,301.5,1,Month-to-month,No,Mailed check,0
181,2024-02-29T02:00:00,50,87.06,4305.38,3,Two-year,Fiber optic,Electronic check,0
182,2024-04-06T13:00:00,51,116.83,5945.92,1,One-year,Fiber optic,Mailed check,0
183,2024-03-22T11:00:00,49,,1244.53,1,Month-to-month,Fiber optic,Mailed check,0
184,2024-05-22T16:00:00,40,63.36,2473.75,1,Month-to-month,DSL,Credit card,0
185,2024-05-23T07:00:00,46,74.53,3356.53,1,One-year,Fiber optic,Electronic check,0
186,2024-04-17T09:00:00,49,35.29,1679.1,1,Month-to-month,DSL,Mailed check,0
187,2024-04-07T10:00:00,33,114.31,3761.59,2,Month-to-month,Fiber optic,Bank transfer,0
188,2024-06-26T20:00:00,18,48.64,817.98,2,Month-to-month,Fiber optic,Bank transfer,0
189,2024-04-28T22:00:00,32,51.24,1623.07,2,Two-year,DSL,Electronic check,0
190,2024-02-09T22:00:00,9,101.53,999.97,2,Two-year,Fiber optic,Mailed check,1
191,2024-03-04T21:00:00,58,119.05,6854.73,3,One-year,No,Electronic check,0
192,2024-02-26T16:00:00,6,75.45,459.28,3,One-year,DSL,Electronic check,1
193,2024-01-22T03:00:00,29,63.47,1773.96,2,Month-to-month,Fiber optic,Electronic check,0
194,2024-06-27T14:00:00,45,49.81,2295.81,1,One-year,Fiber optic,Credit card,0
195,2024-02-29T12:00:00,15,20.3,291.22,4,One-year,No,Credit card,0
196,2024-01-17T18:00:00,56,58.35,3287.66,3,Month-to-month,No,Mailed check,0
197,2024-03-30T11:00:00,24,55.31,1335.47,3,One-year,No,Credit card,0
198,2024-06-26T04:00:00,39,111.71,4379.94,2,Month-to-month,Fiber optic,Electronic check,0
199,2024-03-21T14:00:00,18,76.63,1328.22,3,Month-to-month,Fiber optic,Bank transfer,1
200,2024-05-05T13:00:00,2,67.43,161.71,0,One-year,No,Credit card,0
201,2024-05-24T23:00:00,22,26.43,664.48,1,Two-year,Fiber optic,Mailed check,0
202,2024-04-22T17:00:00,66,29.55,1966.6,0,Two-year,Fiber optic,Electronic check,0
203,2024-05-30T22:00:00,32,48.37,1602.49,2,Month-to-month,DSL,Mailed check,0
204,2024-05-16T08:00:00,55,34.93,1920.91,0,Month-to-month,DSL,Electronic check,0
205,2024-02-02T22:00:00,38,47.51,1794.64,2,One-year,DSL,Bank transfer,0
206,2024-01-20T20:00:00,42,102.51,4403.63,3,One-year,No,Credit card,0
207,2024-04-27T20:00:00,52,70.59,3649.98,2,Month-to-month,No,Electronic check,0
208,2024-02-03T18:00:00,9,99.16,1007.95,3,One-year,Fiber optic,Bank transfer,0
209,2024-04-19T06:00:00,7,22.69,92.02,0,Month-to-month,Fiber optic,Credit card,1
210,2024-06-15T05:00:00,39,34.22,1266.77,2,One-year,DSL,Bank transfer,0
211,2024-04-23T00:00:00,30,61.78,,0,Month-to-month,DSL,Mailed check,0
212,2024-01-27T03:00:00,16,118.79,1912.76,1,Month-to-month,DSL,Credit card,1
213,2024-02-24T20:00:00,18,57.04,1066.22,2,Two-year,DSL,Mailed check,0
214,2024-04-08T11:00:00,57,105.72,5932.14,0,Month-to-month,DSL,Electronic check,0
215,2024-06-04T16:00:00,18,43.27,755.64,2,Two-year,DSL,Bank transfer,0
216,2024-06-01T02:00:00,7,97.95,655.86,1,One-year,DSL,Mailed check,0
217,2024-01-19T00:00:00,47,,5390.29,1,Two-year,DSL,Credit card,0
218,2024-05-08T13:00:00,28,22.06,690.9,0,One-year,No,Bank transfer,0
219,2024-06-11T20:00:00,69,72.84,5037.95,0,Month-to-month,DSL,Bank transfer,0
220,2024-06-04T01:00:00,56,92.46,5194.87,1,Month-to-month,Fiber optic,Electronic check,0
221,2024-02-02T23:00:00,23,30.18,673.81,0,One-year,No,Bank transfer,0
222,2024-05-27T20:00:00,16,96.69,1472.0,0,One-year,Fiber optic,Electronic check,0
223,2024-05-10T00:00:00,47,23.65,1130.72,0,Month-to-month,No,Electronic check,0
224,2024-03-04T13:00:00,32,22.69,702.72,2,Month-to-month,No,Credit card,0
225,2024-01-18T14:00:00,10,76.3,817.71,0,Month-to-month,No,Electronic check,0
226,2024-03-03T14:00:00,40,51.38,2106.19,1,Month-to-month,Fiber optic,Bank transfer,0
227,2024-06-11T22:00:00,26,92.71,2325.1,0,One-year,DSL,Mailed check,0
228,2024-01-16T04:00:00,1,95.41,69.7,2,Month-to-month,No,Mailed check,0
229,2024-04-10T02:00:00,30,109.52,3208.52,2,Month-to-month,No,Mailed check,0
230,2024-03-10T07:00:00,17,42.15,706.93,1,One-year,No,Bank transfer,0
231,2024-01-31T02:00:00,14,33.85,502.6,1,Month-to-month,Fiber optic,Bank transfer,0
232,2024-01-13T21:00:00,6,39.93,287.68,1,Two-year,DSL,Bank transfer,0
233,2024-01-16T07:00:00,23,21.17,441.66,1,One-year,DSL,Mailed check,0
234,2024-01-17T06:00:00,48,88.0,4255.01,1,Two-year,Fiber optic,Electronic check,1
235,2024-04-20T23:00:00,17,27.38,517.66,0,One-year,DSL,Mailed check,0
236,2024-02-08T01:00:00,55,35.63,1885.15,0,Month-to-month,Fiber optic,Bank transfer,0
237,2024-05-14T07:00:00,38,68.89,2660.12,0,One-year,DSL,Credit card,0
238,2024-02-16T00:00:00,3,118.92,318.41,2,One-year,Fiber optic,Bank transfer,1
239,2024-01-15T07:00:00,36,23.98,924.59,3,Two-year,DSL,Bank transfer,0
240,2024-01-08T22:00:00,50,54.19,2706.23,2,Two-year,Fiber optic,Bank transfer,0
241,2024-06-03T07:00:00,19,75.44,,2,One-year,DSL,Electronic check,1
242,2024-03-23T01:00:00,43,111.63,,0,Month-to-month,Fiber optic,Mailed check,0
243,2024-02-10T23:00:00,19,96.99,1899.37,3,Month-to-month,Fiber optic,Bank transfer,0
244,2024-05-30T05:00:00,63,84.22,5224.28,0,Two-year,No,Bank transfer,0
245,2024-01-27T15:00:00,38,30.99,1161.45,4,Two-year,Fiber optic,Mailed check,0
246,2024-03-08T06:00:00,31,53.37,1533.65,1,Month-to-month,No,Bank transfer,0
247,2024-03-30T17:00:00,33,98.28,3240.34,1,Month-to-month,Fiber optic,Credit card,0
248,2024-01-27T02:00:00,29,34.59,987.67,0,Month-to-month,Fiber optic,Electronic check,0
249,2024-04-20T20:00:00,21,92.66,1843.63,0,Two-year,No,Credit card,0
250,2024-03-17T07:00:00,21,23.46,461.53,2,Two-year,No,Bank transfer,0
251,2024-01-07T06:00:00,71,103.67,7387.51,1,Two-year,No,Credit card,0
252,2024-03-08T02:00:00,11,66.3,768.19,0,One-year,Fiber optic,Credit card,0
253,2024-06-27T21:00:00,48,108.32,5162.32,1,Month-to-month,Fiber optic,Electronic check,0
254,2024-06-24T15:00:00,70,60.23,4255.84,1,Month-to-month,Fiber optic,Credit card,0
255,2024-02-12T06:00:00,39,26.05,1080.78,4,Month-to-month,Fiber optic,Mailed check,0
256,2024-01-18T02:00:00,55,25.99,1384.05,1,Two-year,DSL,Bank transfer,0
257,2024-02-08T04:00:00,42,105.38,4315.21,0,Two-year,No,Credit card,0
258,2024-03-08T12:00:00,13,112.34,1446.65,1,One-year,No,Bank transfer,0
259,2024-05-01T08:00:00,61,21.82,1326.59,2,One-year,No,Mailed check,0
260,2024-03-23T08:00:00,39,49.72,1966.59,4,One-year,No,Credit card,0
261,2024-04-13T04:00:00,12,37.17,468.43,4,Month-to-month,DSL,Bank transfer,0
262,2024-04-02T22:00:00,4,35.72,233.35,1,Month-to-month,DSL,Electronic check,0
263,2024-05-01T18:00:00,60,69.52,4154.24,0,One-year,Fiber optic,Credit card,0
264,2024-02-24T07:00:00,34,94.39,3189.93,1,One-year,DSL,Mailed check,0
265,2024-06-04T09:00:00,35,84.46,2856.45,3,Month-to-month,No,Electronic check,0
266,2024-05-13T19:00:00,36,61.23,2195.95,1,One-year,DSL,Credit card,0
267,2024-03-11T20:00:00,66,119.94,8009.55,2,Two-year,DSL,Credit card,0
268,2024-06-23T04:00:00,39,37.21,1431.2,1,Month-to-month,No,Credit card,0
269,2024-02-26T21:00:00,38,44.46,1646.26,0,Two-year,No,Mailed check,0
270,2024-05-23T05:00:00,46,69.75,3232.77,3,Month-to-month,Fiber optic,Mailed check,0
271,2024-04-30T01:00:00,12,40.67,504.93,2,Two-year,Fiber optic,Credit card,0
272,2024-04-15T01:00:00,10,66.17,761.56,0,Month-to-month,No,Credit card,0
273,2024-06-10T05:00:00,26,52.95,1482.03,1,Two-year,DSL,Electronic check,0
274,2024-04-21T20:00:00,58,45.9,2653.7,1,Month-to-month,Fiber optic,Electronic check,0
275,2024-01-02T20:00:00,62,57.1,3572.62,1,One-year,No,Mailed check,0
276,2024-01-12T09:00:00,45,49.83,2250.18,0,Two-year,No,Bank transfer,0
277,2024-02-27T23:00:00,67,78.83,5226.76,3,Month-to-month,DSL,Credit card,1
278,2024-06-12T08:00:00,3,78.15,323.54,0,One-year,No,Electronic check,0
279,2024-02-22T22:00:00,7,,592.95,2,Two-year,Fiber optic,Credit card,0
280,2024-01-27T16:00:00,54,85.49,4608.25,1,Two-year,No,Mailed check,0
281,2024-06-25T15:00:00,15,,1402.23,4,Month-to-month,DSL,Credit card,0
282,2024-01-26T08:00:00,12,110.5,1326.97,2,Month-to-month,No,Electronic check,0
283,2024-01-12T00:00:00,38,44.94,1794.81,3,One-year,No,Electronic check,0
284,2024-04-12T14:00:00,22,51.52,1161.79,3,One-year,Fiber optic,Mailed check,0
285,2024-02-10T03:00:00,62,99.59,6121.58,0,Two-year,No,Electronic check,0
286,2024-05-04T03:00:00,57,36.49,2008.08,1,Month-to-month,No,Mailed check,0
287,2024-03-04T15:00:00,9,44.68,371.45,3,Two-year,Fiber optic,Electronic check,0
288,2024-02-12T02:00:00,50,33.16,1729.81,3,Month-to-month,No,Credit card,0
289,2024-05-07T14:00:00,43,116.95,5062.58,2,One-year,Fiber optic,Credit card,1
290,2024-05-23T06:00:00,3,28.47,96.45,2,Month-to-month,No,Bank transfer,0
291,2024-01-30T03:00:00,44,55.06,2456.11,2,One-year,No,Bank transfer,0
292,2024-04-14T03:00:00,44,54.22,2397.56,3,Month-to-month,DSL,Mailed check,0
293,2024-04-25T14:00:00,16,112.88,1762.87,2,One-year,DSL,Electronic check,0
294,2024-05-03T16:00:00,18,116.31,2128.02,0,Two-year,DSL,Credit card,0
295,2024-03-28T09:00:00,23,92.51,2161.98,3,Two-year,No,Mailed check,0
296,2024-06-08T22:00:00,53,79.46,4247.12,3,One-year,No,Mailed check,0
297,2024-06-19T22:00:00,17,118.1,1933.66,2,Month-to-month,Fiber optic,Credit card,0
298,2024-02-11T09:00:00,69,47.16,3152.02,3,Month-to-month,DSL,Electronic check,0
299,2024-05-23T12:00:00,8,88.44,684.1,0,One-year,DSL,Mailed check,0
300,2024-06-24T10:00:00,37,88.68,3361.51,0,One-year,Fiber optic,Credit card,0
301,2024-05-19T23:00:00,33,38.71,1344.83,1,Two-year,No,Bank transfer,0
302,2024-05-11T03:00:00,25,48.01,1127.43,0,Two-year,DSL,Mailed check,0
303,2024-06-09T19:00:00,34,31.27,1030.03,2,Month-to-month,Fiber optic,Electronic check,0
304,2024-02-10T13:00:00,71,54.52,3851.6,2,Month-to-month,No,Electronic check,0
305,2024-06-15T00:00:00,45,40.56,1835.45,1,Two-year,No,Credit card,0
